Abgabenbescheid / Zoll;Abgabenbescheid / EUSt;Abgabenbescheid / Gesamtabgabe;Abgabenbescheid / Datum Erstellung
0,00;4,87;4,87;16.02.2024
0,00;4,87;4,87;16.02.2024
0,00;1,42;1,42;16.02.2024
0,00;1,42;1,42;16.02.2024
0,00;574,37;574,37;16.02.2024
0,00;983,25;983,25;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;21,85;21,85;16.02.2024
0,00;3,46;3,46;16.02.2024
0,00;6,48;6,48;16.02.2024
0,00;927,11;927,11;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;2,10;2,10;16.02.2024
139,56;1294,06;1433,62;21.02.2024
0,00;325,74;325,74;16.02.2024
0,00;1,40;1,40;16.02.2024
0,00;988,91;988,91;16.02.2024
0,00;4,75;4,75;16.02.2024
0,00;3,04;3,04;16.02.2024
0,00;2644,02;2644,02;16.02.2024
0,00;4,75;4,75;16.02.2024
368,77;2263,05;2631,82;20.02.2024
558,65;3798,90;4357,55;20.02.2024
0,00;3,04;3,04;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;100,97;100,97;16.02.2024
0,00;35,51;35,51;16.02.2024
0,00;2,02;2,02;16.02.2024
0,00;810,35;810,35;16.02.2024
0,00;53,88;53,88;16.02.2024
0,00;24,22;24,22;16.02.2024
0,00;0,20;0,20;16.02.2024
0,00;3,86;3,86;16.02.2024
0,00;3,86;3,86;16.02.2024
0,00;3,86;3,86;16.02.2024
0,00;28,50;28,50;16.02.2024
0,00;109,81;109,81;16.02.2024
0,00;73,48;73,48;16.02.2024
0,00;134,02;134,02;16.02.2024
0,00;3,86;3,86;16.02.2024
0,00;4,87;4,87;16.02.2024
0,00;23,03;23,03;16.02.2024
0,00;109,81;109,81;16.02.2024
0,00;8,90;8,90;16.02.2024
0,00;9,50;9,50;16.02.2024
0,00;40,85;40,85;16.02.2024
0,00;9,74;9,74;16.02.2024
0,00;3,61;3,61;16.02.2024
0,00;0,00;0,00;16.02.2024
0,00;0,00;0,00;16.02.2024
0,00;0,00;0,00;16.02.2024
0,00;0,00;0,00;16.02.2024
0,00;19,93;19,93;16.02.2024
0,00;10,78;10,78;16.02.2024
0,00;4,75;4,75;16.02.2024
0,00;0,00;0,00;16.02.2024
0,00;1101,65;1101,65;15.02.2024
0,00;4,86;4,86;15.02.2024
0,00;28,50;28,50;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;6,25;6,25;15.02.2024
0,00;80,72;80,72;15.02.2024
6,05;51,12;57,17;15.02.2024
0,00;4,87;4,87;15.02.2024
0,00;948,49;948,49;15.02.2024
0,00;1,12;1,12;15.02.2024
0,00;6,65;6,65;15.02.2024
