Date,Abgabe
2018-07-02,0.0
2018-07-03,12188.44
2018-07-04,0.0
2018-07-05,0.0
2018-07-06,0.0
2018-07-07,0.0
2018-07-08,0.0
2018-07-09,0.0
2018-07-10,0.0
2018-07-11,11618.35
2018-07-12,0.0
2018-07-13,7548.6
2018-07-14,12927.18
2018-07-15,0.0
2018-07-16,0.0
2018-07-17,23586.73
2018-07-18,560.85
2018-07-19,1795.88
2018-07-20,484.12
2018-07-21,0.0
2018-07-22,0.0
2018-07-23,0.0
2018-07-24,6677.51
2018-07-25,966.21
2018-07-26,0.0
2018-07-27,7231.820000000001
2018-07-28,0.0
2018-07-29,0.0
2018-07-30,2748.06
2018-07-31,0.0
2018-08-01,0.0
2018-08-02,0.0
2018-08-03,299.24
2018-08-04,0.0
2018-08-05,0.0
2018-08-06,13590.03
2018-08-07,0.0
2018-08-08,1603.35
2018-08-09,1938.74
2018-08-10,406.02
2018-08-11,0.0
2018-08-12,0.0
2018-08-13,0.0
2018-08-14,5838.05
2018-08-15,0.0
2018-08-16,709.0799999999999
2018-08-17,996.0
2018-08-18,0.0
2018-08-19,0.0
2018-08-20,0.0
2018-08-21,1017.9599999999999
2018-08-22,1294.56
2018-08-23,41.7
2018-08-24,7903.27
2018-08-25,0.0
2018-08-26,0.0
2018-08-27,6134.62
2018-08-28,350.74
2018-08-29,3109.2400000000002
2018-08-30,0.0
2018-08-31,608.47
2018-09-01,0.0
2018-09-02,0.0
2018-09-03,0.0
2018-09-04,438.36
2018-09-05,619.65
2018-09-06,1347.29
2018-09-07,0.0
2018-09-08,0.0
2018-09-09,0.0
2018-09-10,0.0
2018-09-11,21593.47
2018-09-12,1656.35
2018-09-13,935.4300000000001
2018-09-14,1596.63
2018-09-15,0.0
2018-09-16,0.0
2018-09-17,2286.23
2018-09-18,291.97
2018-09-19,0.0
2018-09-20,0.0
2018-09-21,319.5
2018-09-22,0.0
2018-09-23,0.0
2018-09-24,0.0
2018-09-25,0.0
2018-09-26,377.69
2018-09-27,6481.2
2018-09-28,0.0
2018-09-29,0.0
2018-09-30,0.0
2018-10-01,0.0
2018-10-02,0.0
2018-10-03,655.27
2018-10-04,6133.969999999999
2018-10-05,9838.87
2018-10-06,0.0
2018-10-07,0.0
2018-10-08,5794.97
2018-10-09,568.03
2018-10-10,0.0
2018-10-11,22695.239999999998
2018-10-12,0.0
2018-10-13,0.0
2018-10-14,0.0
2018-10-15,7275.67
2018-10-16,0.0
2018-10-17,0.0
2018-10-18,2723.85
2018-10-19,979.49
2018-10-20,0.0
2018-10-21,0.0
2018-10-22,0.0
2018-10-23,415.72
2018-10-24,269.77
2018-10-25,1170.47
2018-10-26,5376.13
2018-10-27,0.0
2018-10-28,0.0
2018-10-29,5686.42
2018-10-30,780.66
2018-10-31,0.0
2018-11-01,0.0
2018-11-02,0.0
2018-11-03,0.0
2018-11-04,0.0
2018-11-05,0.0
2018-11-06,0.0
2018-11-07,2949.22
2018-11-08,1835.97
2018-11-09,8083.72
2018-11-10,0.0
2018-11-11,0.0
2018-11-12,0.0
2018-11-13,0.0
2018-11-14,0.0
2018-11-15,0.0
2018-11-16,0.0
2018-11-17,0.0
2018-11-18,0.0
2018-11-19,802.18
2018-11-20,0.0
2018-11-21,6397.07
2018-11-22,0.0
2018-11-23,0.0
2018-11-24,0.0
2018-11-25,0.0
2018-11-26,906.71
2018-11-27,0.0
2018-11-28,475.37
2018-11-29,447.98
2018-11-30,0.0
2018-12-01,0.0
2018-12-02,0.0
2018-12-03,542.58
2018-12-04,0.0
2018-12-05,0.0
2018-12-06,893.8199999999999
2018-12-07,0.0
2018-12-08,0.0
2018-12-09,0.0
2018-12-10,0.0
2018-12-11,711.06
2018-12-12,1089.18
2018-12-13,7650.93
2018-12-14,0.0
2018-12-15,0.0
2018-12-16,0.0
2018-12-17,0.0
2018-12-18,0.0
2018-12-19,1157.67
2018-12-20,1075.29
2018-12-21,0.0
2018-12-22,0.0
2018-12-23,0.0
2018-12-24,0.0
2018-12-25,0.0
2018-12-26,0.0
2018-12-27,469.43
2018-12-28,0.0
2018-12-29,0.0
2018-12-30,0.0
2018-12-31,0.0
2019-01-01,4383.84
2019-01-02,0.0
2019-01-03,1724.72
2019-01-04,8246.82
2019-01-05,1366.38
2019-01-06,0.0
2019-01-07,0.0
2019-01-08,812.45
2019-01-09,0.0
2019-01-10,2091.67
2019-01-11,0.0
2019-01-12,480.34
2019-01-13,0.0
2019-01-14,19446.18
2019-01-15,0.0
2019-01-16,0.0
2019-01-17,1019.19
2019-01-18,0.0
2019-01-19,0.0
2019-01-20,0.0
2019-01-21,20116.18
2019-01-22,0.0
2019-01-23,0.0
2019-01-24,1215.26
2019-01-25,372.34
2019-01-26,0.0
2019-01-27,0.0
2019-01-28,1598.54
2019-01-29,10741.22
2019-01-30,0.0
2019-01-31,0.0
2019-02-01,8486.07
2019-02-02,0.0
2019-02-03,0.0
2019-02-04,18582.08
2019-02-05,2117.95
2019-02-06,0.0
2019-02-07,0.0
2019-02-08,0.0
2019-02-09,0.0
2019-02-10,0.0
2019-02-11,0.0
2019-02-12,302.1
2019-02-13,0.0
2019-02-14,0.0
2019-02-15,2422.7200000000003
2019-02-16,0.0
2019-02-17,0.0
2019-02-18,19090.47
2019-02-19,9560.4
2019-02-20,395.88
2019-02-21,0.0
2019-02-22,0.0
2019-02-23,0.0
2019-02-24,0.0
2019-02-25,4566.54
2019-02-26,0.0
2019-02-27,1676.44
2019-02-28,0.0
2019-03-01,0.0
2019-03-02,0.0
2019-03-03,0.0
2019-03-04,6662.0
2019-03-05,0.0
2019-03-06,1169.61
2019-03-07,1869.27
2019-03-08,401.35
2019-03-09,0.0
2019-03-10,0.0
2019-03-11,0.0
2019-03-12,542.51
2019-03-13,0.0
2019-03-14,19.01
2019-03-15,0.0
2019-03-16,0.0
2019-03-17,0.0
2019-03-18,6930.91
2019-03-19,0.0
2019-03-20,0.0
2019-03-21,0.0
2019-03-22,2257.58
2019-03-23,0.0
2019-03-24,0.0
2019-03-25,0.0
2019-03-26,7021.35
2019-03-27,354.52
2019-03-28,199.88
2019-03-29,0.0
2019-03-30,0.0
2019-03-31,0.0
2019-04-01,6653.93
2019-04-02,659.79
2019-04-03,0.0
2019-04-04,0.0
2019-04-05,0.0
2019-04-06,0.0
2019-04-07,0.0
2019-04-08,2786.18
2019-04-09,17954.96
2019-04-10,0.0
2019-04-11,642.74
2019-04-12,2766.37
2019-04-13,0.0
2019-04-14,0.0
2019-04-15,0.0
2019-04-16,0.0
2019-04-17,0.0
2019-04-18,657.08
2019-04-19,0.0
2019-04-20,0.0
2019-04-21,0.0
2019-04-22,0.0
2019-04-23,2482.48
2019-04-24,8573.95
2019-04-25,0.0
2019-04-26,0.0
2019-04-27,2030.41
2019-04-28,0.0
2019-04-29,1116.21
2019-04-30,187.94
2019-05-01,0.0
2019-05-02,6780.91
2019-05-03,88.86
2019-05-04,0.0
2019-05-05,0.0
2019-05-06,0.0
2019-05-07,0.0
2019-05-08,0.0
2019-05-09,0.0
2019-05-10,3644.13
2019-05-11,0.0
2019-05-12,0.0
2019-05-13,0.0
2019-05-14,0.0
2019-05-15,1402.54
2019-05-16,1160.97
2019-05-17,465.7
2019-05-18,0.0
2019-05-19,0.0
2019-05-20,6346.789999999999
2019-05-21,0.0
2019-05-22,2807.01
2019-05-23,1896.1999999999998
2019-05-24,1959.93
2019-05-25,0.0
2019-05-26,0.0
2019-05-27,7115.79
2019-05-28,0.0
2019-05-29,4097.8
2019-05-30,0.0
2019-05-31,371.13
2019-06-01,3094.91
2019-06-02,0.0
2019-06-03,3197.0
2019-06-04,9532.97
2019-06-05,3188.13
2019-06-06,0.0
2019-06-07,0.0
2019-06-08,2892.65
2019-06-09,0.0
2019-06-10,10976.5
2019-06-11,2534.38
2019-06-12,485.09
2019-06-13,2352.42
2019-06-14,0.0
2019-06-15,0.0
2019-06-16,0.0
2019-06-17,172.84
2019-06-18,9714.210000000001
2019-06-19,507.43
2019-06-20,0.0
2019-06-21,0.0
2019-06-22,1599.95
2019-06-23,0.0
2019-06-24,8457.47
2019-06-25,2077.35
2019-06-26,2608.33
2019-06-27,0.0
2019-06-28,6915.53
2019-06-29,0.0
2019-06-30,0.0
2019-07-01,10347.81
2019-07-02,868.55
2019-07-03,534.29
2019-07-04,0.0
2019-07-05,1758.07
2019-07-06,0.0
2019-07-07,0.0
2019-07-08,1971.5900000000001
2019-07-09,0.0
2019-07-10,0.0
2019-07-11,0.0
2019-07-12,8412.77
2019-07-13,0.0
2019-07-14,0.0
2019-07-15,0.0
2019-07-16,0.0
2019-07-17,8406.91
2019-07-18,989.1400000000001
2019-07-19,0.0
2019-07-20,0.0
2019-07-21,0.0
2019-07-22,9083.890000000001
2019-07-23,0.0
2019-07-24,432.0
2019-07-25,712.11
2019-07-26,4106.27
2019-07-27,0.0
2019-07-28,0.0
2019-07-29,12373.95
2019-07-30,0.0
2019-07-31,0.0
2019-08-01,714.95
2019-08-02,0.0
2019-08-03,0.0
2019-08-04,0.0
2019-08-05,8849.900000000001
2019-08-06,0.0
2019-08-07,2039.02
2019-08-08,816.03
2019-08-09,3499.56
2019-08-10,0.0
2019-08-11,0.0
2019-08-12,2803.2
2019-08-13,0.0
2019-08-14,15867.35
2019-08-15,478.32
2019-08-16,377.54
2019-08-17,0.0
2019-08-18,0.0
2019-08-19,10493.98
2019-08-20,0.0
2019-08-21,0.0
2019-08-22,3025.96
2019-08-23,386.67
2019-08-24,0.0
2019-08-25,0.0
2019-08-26,0.0
